p1	p2	n	r	p.value
protein137	protein259	4	0.999999999982527	0.003
protein138	protein259	4	0.999999999972439	0.003
protein139	protein259	4	0.999999999977981	0.003
protein13	protein259	4	0.999999999999563	0
protein140	protein259	4	0.999999999995064	0
protein141	protein259	4	0.999999999978531	0.003
protein142	protein259	4	0.999999999930349	0.004
protein143	protein259	4	0.999999999920082	0.004
protein144	protein259	4	0.999999999975555	0.003
protein145	protein259	4	0.817378037287672	0.399
protein146	protein259	4	0.999999999965773	0.003
protein148	protein259	4	0.999999999992415	0
protein149	protein259	4	0.999999999978459	0.003
protein14	protein259	4	0.999999999970403	0.003
protein150	protein259	4	0.999999999999934	0
protein151	protein259	4	0.999999999993886	0
protein152	protein259	4	0.318816756699083	0.712
protein157	protein259	4	0.085440828665447	0.836
protein158	protein259	4	0.999999999999686	0
protein159	protein259	4	0.999909580806708	0.004
protein15	protein259	4	0.999999999998061	0
protein160	protein259	4	0.999999999983857	0.003
protein161	protein259	4	-0.00835883705212558	0.865
protein162	protein259	4	0.999999999995324	0
protein163	protein259	4	0.999999999993122	0
protein164	protein259	4	0.999999999995527	0
protein165	protein259	4	0.999999999999319	0
protein166	protein259	4	0.999999999998928	0
protein167	protein259	4	0.99999999995393	0.004
protein168	protein259	4	0.999999999989569	0.003
protein169	protein259	4	0.999999999972595	0.003
protein16	protein259	4	0.99999999999938	0
protein170	protein259	4	-0.330991719651711	0.961
protein171	protein259	4	-0.311853598880834	0.957
protein172	protein259	4	0.999999999764363	0.004
protein173	protein259	4	0.999999999977003	0.003
protein174	protein259	4	0.999955890969255	0.004
protein175	protein259	4	0.9999999998992	0.004
protein176	protein259	4	0.999999999899197	0.004
protein177	protein259	4	0.995203560787815	0.009
protein178	protein259	4	0.999907899497386	0.004
protein179	protein259	4	0.999999999660059	0.004
protein17	protein259	4	0.999999999992802	0
protein180	protein259	4	0.999999999958997	0.004
protein181	protein259	4	0.280167479913695	0.726
protein182	protein259	4	-0.207739198962808	0.93
protein183	protein259	4	-0.303404569375123	0.954
protein184	protein259	4	0.999999999831629	0.004
protein185	protein259	4	0.999999999600641	0.004
protein186	protein259	4	0.992317634443046	0.012
protein187	protein259	4	-0.504604551593894	0.985
protein188	protein259	4	-0.620175510501771	0.993
protein189	protein259	4	0.999999999999759	0
protein18	protein259	4	0.999999999981326	0.003
protein190	protein259	4	0.999999999993531	0
protein191	protein259	4	-0.00347445453694332	0.863
protein192	protein259	4	0.111597538975353	0.788
protein193	protein259	4	-0.314917419423086	0.957
protein194	protein259	4	0.999999999920545	0.004
protein195	protein259	4	0.999999999942801	0.004
protein196	protein259	4	0.999963399206184	0.004
protein197	protein259	4	0.999422699227624	0.004
protein198	protein259	4	-0.329505525560281	0.961
protein199	protein259	4	-0.329421059674832	0.961
protein19	protein259	4	0.999999999992704	0
protein1	protein259	4	0.085440828665447	0.836
protein200	protein259	4	-0.331059796249627	0.961
protein201	protein259	4	-0.616575441187146	0.993
protein202	protein259	4	-0.661891146359593	0.994
protein203	protein259	4	-0.33315142992682	0.961
protein204	protein259	4	0.189582766050675	0.76
protein205	protein259	4	0.999999999990906	0
protein206	protein259	4	-0.16943281483679	0.924
protein207	protein259	4	0.999999999999305	0
protein208	protein259	4	0.999999999999533	0
protein209	protein259	4	0.99999999999993	0
protein20	protein259	4	0.999963266171731	0.004
protein210	protein259	4	0.999999999629504	0.004
protein211	protein259	4	0.999999999999281	0
protein212	protein259	4	0.999999999999982	0
protein213	protein259	4	0.999999999810622	0.004
protein214	protein259	4	-0.138258617955627	0.913
protein215	protein259	4	0.999999999997996	0
protein216	protein259	4	0.999999999992223	0
protein217	protein259	4	0.999999999982149	0.003
protein218	protein259	4	0.663550009301557	0.509
protein219	protein259	4	0.999999999947487	0.004
protein21	protein259	4	0.999972544699981	0.004
protein220	protein259	4	0.999999999981959	0.003
protein221	protein259	4	0.999999999993032	0
protein222	protein259	4	0.999999999560525	0.004
protein223	protein259	4	-0.183957046477544	0.926
protein224	protein259	4	-0.791905337772999	1
protein225	protein259	4	0.999999999982356	0.003
protein226	protein259	4	0.998467518271784	0.004
protein227	protein259	4	0.999999999980691	0.003
protein228	protein259	4	0.999999999981785	0.003
protein229	protein259	4	0.999999999977058	0.003
protein22	protein259	4	0.617999497606364	0.535
protein230	protein259	4	0.999999999977894	0.003
protein231	protein259	4	0.999999999978603	0.003
protein232	protein259	4	0.99999999999543	0
protein233	protein259	4	0.999999999995435	0
protein234	protein259	4	0.999999999978306	0.003
protein235	protein259	4	0.99999999998151	0.003
protein236	protein259	4	0.999999999976929	0.003
protein237	protein259	4	0.999999999980621	0.003
protein238	protein259	4	0.999999999992795	0
protein239	protein259	4	0.698687311034092	0.5
protein23	protein259	4	0.000010384850387288	0.863
protein240	protein259	4	0.99999999997956	0.003
protein241	protein259	4	0.695847216646004	0.501
protein242	protein259	4	0.255602022232936	0.734
protein243	protein259	4	0.269100055558503	0.73
protein244	protein259	4	0.999999999765976	0.004
protein245	protein259	4	0.999999999621724	0.004
protein246	protein259	4	0.999999999984756	0.003
protein247	protein259	4	0.999999999984563	0.003
protein248	protein259	4	0.999999999984799	0.003
protein249	protein259	4	0.999999999984697	0.003
protein24	protein259	4	0.999082599610078	0.004
protein250	protein259	4	0.798368513548953	0.409
protein251	protein259	4	0.999999999977134	0.003
protein252	protein259	4	0.999999999995684	0
protein253	protein259	4	0.999999999995446	0
protein254	protein259	4	-0.333333333338348	0.961
protein255	protein259	4	0.999999999937421	0.004
protein256	protein259	4	0.999999999937421	0.004
protein253	protein25	4	0.999999999991632	0
protein257	protein25	4	0.347016591138387	0.702
protein258	protein25	4	0.591076512678792	0.548
protein259	protein25	4	0.999999999974733	0.003
protein100	protein260	4	0.708983784344125	0.493
protein101	protein260	4	0.999999999993958	0
protein102	protein260	4	0.999999999994039	0
protein103	protein260	4	0.158625655646025	0.769
protein105	protein260	4	-0.351237207175676	0.963
protein106	protein260	4	0.265303089670686	0.731
protein107	protein260	4	0.726936347456873	0.486
protein108	protein260	4	0.305126064831551	0.718
protein109	protein260	4	0.0640287851794691	0.839
protein10	protein260	4	0.999963399205097	0.004
protein110	protein260	4	0.999999999771146	0.004
protein111	protein260	4	0.999999999999482	0
protein112	protein260	4	0.999999999999372	0
protein113	protein260	4	-0.23301841082587	0.937
protein114	protein260	4	-0.225754079063468	0.933
protein115	protein260	4	0.999999999910356	0.004
protein116	protein260	4	0.999999999881985	0.004
protein117	protein260	4	0.999999999981818	0.003
protein118	protein260	4	0.54794540343328	0.568
protein119	protein260	4	0.0373821258499464	0.847
protein11	protein260	4	0.99999999999345	0
protein120	protein260	4	0.999999999975301	0.003
protein121	protein260	4	0.999999999994724	0
protein122	protein260	4	0.999999999990348	0
protein123	protein260	4	0.214805073236937	0.751
protein124	protein260	4	0.999999999970704	0.003
protein125	protein260	4	0.999999999945641	0.004
protein126	protein260	4	-0.399229454191322	0.97
protein127	protein260	4	0.999999999955415	0.004
protein128	protein260	4	0.0703215707724116	0.839
protein129	protein260	4	0.0539196435778007	0.842
protein12	protein260	4	0.999999999992964	0
protein130	protein260	4	0.0447956279434655	0.844
protein131	protein260	4	0.999999999999999	0
protein132	protein260	4	0.999999999974002	0.003
protein133	protein260	4	0.999999999960196	0.004
protein134	protein260	4	0.999999999960196	0.004
protein135	protein260	4	0.999999999999815	0
protein136	protein260	4	0.999999999963985	0.004
protein137	protein260	4	0.999999999981731	0.003
protein138	protein260	4	0.999999999971503	0.003
protein139	protein260	4	0.999999999977115	0.003
protein13	protein260	4	0.999999999999428	0
protein140	protein260	4	0.999999999994631	0
protein141	protein260	4	0.999999999977673	0.003
protein142	protein260	4	0.999999999929075	0.004
protein143	protein260	4	0.999999999918746	0.004
protein144	protein260	4	0.999999999974657	0.003
protein145	protein260	4	0.817378069283574	0.399
protein146	protein260	4	0.999999999964767	0.004
protein148	protein260	4	0.99999999999188	0
protein149	protein260	4	0.999999999977599	0.003
protein14	protein260	4	0.999999999969445	0.003
protein150	protein260	4	0.999999999999974	0
protein151	protein260	4	0.999999999993405	0
protein152	protein260	4	0.318816728494153	0.712
protein157	protein260	4	0.0854409590892458	0.836
protein158	protein260	4	0.999999999999569	0
protein159	protein260	4	0.99990958262116	0.004
protein15	protein260	4	0.999999999997786	0
protein160	protein260	4	0.999999999983087	0.003
protein161	protein260	4	-0.00835889886061954	0.865
protein162	protein260	4	0.999999999994902	0
protein163	protein260	4	0.999999999992612	0
protein164	protein260	4	0.999999999995114	0
protein165	protein260	4	0.999999999999152	0
protein166	protein260	4	0.999999999998721	0
protein167	protein260	4	0.99999999995282	0.004
protein168	protein260	4	0.999999999988944	0.003
protein169	protein260	4	0.999999999971662	0.003
protein16	protein260	4	0.99999999999922	0
protein170	protein260	4	-0.330991703688116	0.961
protein171	protein260	4	-0.311853587125317	0.957
protein172	protein260	4	0.999999999767283	0.004
protein173	protein260	4	0.999999999976123	0.003
protein174	protein260	4	0.999955890968697	0.004
protein175	protein260	4	0.999999999897754	0.004
protein176	protein260	4	0.999999999897751	0.004
protein177	protein260	4	0.99520356028269	0.009
protein178	protein260	4	0.99990790132863	0.004
protein179	protein260	4	0.999999999657787	0.004
protein17	protein260	4	0.999999999992281	0
protein180	protein260	4	0.99999999996021	0.004
protein181	protein260	4	0.280167415616067	0.726
protein182	protein260	4	-0.207739217285219	0.93
protein183	protein260	4	-0.303404550625433	0.954
protein184	protein260	4	0.99999999982989	0.004
protein185	protein260	4	0.99999999959822	0.004
protein186	protein260	4	0.992317646267388	0.012
protein187	protein260	4	-0.504604574525349	0.985
protein188	protein260	4	-0.620175557838319	0.993
protein189	protein260	4	0.999999999999843	0
protein18	protein260	4	0.99999999998051	0.003
protein190	protein260	4	0.999999999994007	0
protein191	protein260	4	-0.00347438770803924	0.863
protein192	protein260	4	0.111597562570132	0.788
protein193	protein260	4	-0.314917431821791	0.957
protein194	protein260	4	0.999999999919213	0.004
protein195	protein260	4	0.999999999941608	0.004
protein196	protein260	4	0.999963399205097	0.004
protein197	protein260	4	0.999422703811837	0.004
protein198	protein260	4	-0.329505505172356	0.961
protein199	protein260	4	-0.329421039064483	0.961
protein19	protein260	4	0.999999999992179	0
protein1	protein260	4	0.0854409590892458	0.836
protein200	protein260	4	-0.331059780519016	0.961
protein201	protein260	4	-0.616575441186263	0.993
protein202	protein260	4	-0.661891146358669	0.994
protein203	protein260	4	-0.333151432148118	0.961
protein204	protein260	4	0.18958279070316	0.76
protein205	protein260	4	0.999999999991472	0
protein206	protein260	4	-0.169432799262291	0.924
protein207	protein260	4	0.999999999999456	0
protein208	protein260	4	0.999999999999393	0
protein209	protein260	4	0.999999999999871	0
protein20	protein260	4	0.99996326617064	0.004
protein210	protein260	4	0.999999999633168	0.004
protein211	protein260	4	0.99999999999911	0
protein212	protein260	4	0.999999999999947	0
protein213	protein260	4	0.999999999813239	0.004
protein214	protein260	4	-0.13825863557873	0.913
protein215	protein260	4	0.999999999997716	0
protein216	protein260	4	0.999999999991681	0
protein217	protein260	4	0.999999999981347	0.003
protein218	protein260	4	0.663550032665884	0.509
protein219	protein260	4	0.999999999948861	0.004
protein21	protein260	4	0.999972544698839	0.004
protein220	protein260	4	0.999999999981154	0.003
protein221	protein260	4	0.999999999992519	0
protein222	protein260	4	0.999999999564516	0.004
protein223	protein260	4	-0.18395699590434	0.926
protein224	protein260	4	-0.791905314174756	1
protein225	protein260	4	0.999999999981558	0.003
protein226	protein260	4	0.998467518269918	0.004
protein227	protein260	4	0.99999999998152	0.003
protein228	protein260	4	0.99999999998259	0.003
protein229	protein260	4	0.999999999976179	0.003
protein22	protein260	4	0.617999497605827	0.535
protein230	protein260	4	0.999999999977027	0.003
protein231	protein260	4	0.999999999977746	0.003
protein232	protein260	4	0.999999999995013	0
protein233	protein260	4	0.999999999995018	0
protein234	protein260	4	0.999999999977444	0.003
protein235	protein260	4	0.999999999980698	0.003
protein236	protein260	4	0.999999999976048	0.003
protein237	protein260	4	0.999999999979794	0.003
protein238	protein260	4	0.999999999992274	0
protein239	protein260	4	0.698687350332689	0.5
protein23	protein260	4	0.0000105197815764238	0.863
protein240	protein260	4	0.999999999978717	0.003
protein241	protein260	4	0.695847301997026	0.501
protein242	protein260	4	0.255601958531839	0.734
protein243	protein260	4	0.269099991659596	0.73
protein244	protein260	4	0.999999999768886	0.004
protein245	protein260	4	0.999999999619355	0.004
protein246	protein260	4	0.999999999984005	0.003
protein247	protein260	4	0.999999999983808	0.003
protein248	protein260	4	0.999999999984049	0.003
protein249	protein260	4	0.999999999983944	0.003
protein24	protein260	4	0.999082600938369	0.004
protein250	protein260	4	0.79836858900902	0.409
protein251	protein260	4	0.999999999976257	0.003
protein252	protein260	4	0.999999999995279	0
protein253	protein260	4	0.999999999995844	0
protein254	protein260	4	-0.333333333338501	0.961
protein255	protein260	4	0.999999999936192	0.004
protein256	protein260	4	0.999999999936192	0.004
protein259	protein260	4	0.999999999999991	0
protein25	protein260	4	0.999999999975683	0.003
protein100	protein261	4	0.708984376144216	0.493
protein101	protein261	4	0.999999999999988	0
protein102	protein261	4	0.999999999999992	0
protein103	protein261	4	0.158624224871277	0.769
protein105	protein261	4	-0.351236954457157	0.963
protein106	protein261	4	0.265304691298018	0.731
protein107	protein261	4	0.726935276046374	0.486
protein108	protein261	4	0.305127630768872	0.718
protein109	protein261	4	0.0640280476209925	0.839
protein10	protein261	4	0.999963399226577	0.004
protein110	protein261	4	0.99999999969451	0.004
protein111	protein261	4	0.999999999990577	0
protein112	protein261	4	0.999999999990123	0
protein113	protein261	4	-0.23301828865137	0.937
protein114	protein261	4	-0.225753892499471	0.933
protein115	protein261	4	0.999999999939093	0.004
protein116	protein261	4	0.999999999914189	0.004
protein117	protein261	4	0.999999999996063	0
protein118	protein261	4	0.547946494159182	0.568
protein119	protein261	4	0.0373788045050914	0.847
protein11	protein261	4	0.999999999999956	0
protein120	protein261	4	0.999999999991925	0
protein121	protein261	4	0.999999999978402	0.003
protein122	protein261	4	0.999999999970219	0.003
protein123	protein261	4	0.21480212675971	0.751
protein124	protein261	4	0.999999999988675	0.003
protein125	protein261	4	0.999999999905458	0.004
protein126	protein261	4	-0.399229454193158	0.97
protein127	protein261	4	0.999999999918503	0.004
protein128	protein261	4	0.0703186980448356	0.839
protein129	protein261	4	0.0539167444062471	0.842
protein12	protein261	4	0.999999999999909	0
protein130	protein261	4	0.0447926981384757	0.844
protein131	protein261	4	0.999999999994323	0
protein132	protein261	4	0.999999999991027	0
